Radius Texture Perimeter Area Smoothness
13.27 17.02 84.55 546.4 0.08445
13 20.78 83.51 519.4 0.1135
13.98 19.62 91.12 599.5 0.106
18.81 19.98 120.9 1102 0.08923
12.46 12.83 78.83 477.3 0.07372
12.03 17.93 76.09 446 0.07683
13.75 23.77 88.54 590 0.08043
13.82 24.49 92.33 595.9 0.1162
7.691 25.44 48.34 170.4 0.08668
11.52 14.93 73.87 406.3 0.1013
10.75 14.97 68.26 355.3 0.07793
19.59 18.15 130.7 1214 0.112
24.25 20.2 166.2 1761 0.1447
13.62 23.23 87.19 573.2 0.09246
11.57 19.04 74.2 409.7 0.08546
13.11 22.54 87.02 529.4 0.1002
11.2 29.37 70.67 386 0.07449
13.81 23.75 91.56 597.8 0.1323
14.58 21.53 97.41 644.8 0.1054
11.74 14.69 76.31 426 0.08099
13.17 21.81 85.42 531.5 0.09714
25.73 17.46 174.2 2010 0.1149
8.196 16.84 51.71 201.9 0.086
13.05 18.59 85.09 512 0.1082
12.34 14.95 78.29 469.1 0.08682
21.1 20.52 138.1 1384 0.09684
12.25 17.94 78.27 460.3 0.08654
16.07 19.65 104.1 817.7 0.09168
9.042 18.9 60.07 244.5 0.09968
12.45 16.41 82.85 476.7 0.09514
11.27 12.96 73.16 386.3 0.1237
13.8 15.79 90.43 584.1 0.1007
18.22 18.7 120.3 1033 0.1148
12.3 15.9 78.83 463.7 0.0808
10.8 21.98 68.79 359.9 0.08801
10.86 21.48 68.51 360.5 0.07431
16.26 21.88 107.5 826.8 0.1165
10.66 15.15 67.49 349.6 0.08792
14.25 21.72 93.63 633 0.09823
10.49 18.61 66.86 334.3 0.1068
11.49 14.59 73.99 404.9 0.1046
14.22 23.12 94.37 609.9 0.1075
10.16 19.59 64.73 311.7 0.1003
23.21 26.97 153.5 1670 0.09509
9.742 19.12 61.93 289.7 0.1075
8.598 20.98 54.66 221.8 0.1243
12.39 17.48 80.64 462.9 0.1042
15.75 20.25 102.6 761.3 0.1025
11.06 14.96 71.49 373.9 0.1033
10.18 17.53 65.12 313.1 0.1061
15.5 21.08 102.9 803.1 0.112
17.68 20.74 117.4 963.7 0.1115
15.46 19.48 101.7 748.9 0.1092
10.51 20.19 68.64 334.2 0.1122
17.91 21.02 124.4 994 0.123
11.61 16.02 75.46 408.2 0.1088
13.24 20.13 86.87 542.9 0.08284
15.66 23.2 110.2 773.5 0.1109
12.77 21.41 82.02 507.4 0.08749
18.05 16.15 120.2 1006 0.1065
11.26 19.83 71.3 388.1 0.08511
15.28 22.41 98.92 710.6 0.09057
13.68 16.33 87.76 575.5 0.09277
12.65 18.17 82.69 485.6 0.1076
16.25 19.51 109.8 815.8 0.1026
20.18 19.54 133.8 1250 0.1133
13.66 19.13 89.46 575.3 0.09057
12.81 13.06 81.29 508.8 0.08739
9.423 27.88 59.26 271.3 0.08123
